ID,SampleName,GeothermalField,Location,Country,Reference,Temperature,Li,Na,K,Mg,Ca,Cl,SO4,HCO3
374,Cen. Miss.1,,Mississippi ,EU,"Fournier y Potter, 1979",132,,79000,7080,3920,34000,,,
555,THM2,,,,"Henley & Stew, 1983",132,,78,36,,85,39,,
33,Well-1,,Reykholt,Islandia,"Arnorsson, et.al., 1983 II",133,,109.7,5.54,0.055,2.68,77.7,72.6,
716,"Bakki, well1",,Bakki,Islandia,"Kühn, 2004",134,,387.5,19.6,0.07,67.1,658.5,122.5,
398,321-20J,,Kettleman Hills,EU,"Fournier y Potter, 1979",134,,3080,75.1,2.05,8.6,,,
396,323-21J,,Kettleman Hills,EU,"Fournier y Potter, 1979",134,,3090,59.4,3.31,53.8,,,
245,7-G-009-81,,"Calistoga, CA",EU,"Kharaka y Mariner, 1989",135,1.95,206,9,0.5,2,201,,
531,GW-7,,Puga,India,"Moon & Dharam, 1988",135,6.3,580,80,1,5,464,127,884
556,THM2,,,,"Henley & Stew, 1983",135,,233,35,,54,258,217,
763,BA-01,Bakki,Bakki,Islandia,"Ping et al, 1996",136,,398,17.8,0.021,73.2,743,121,
430,Laugarnes G-4,,,Islandia,"Nieva y Nieva, 1987",136,,62.2,2.3,0.03,1.9,,,
255,Reynolds #1,,"Stillwater, NV",EU,"Kharaka y Mariner, 1989",136,1.9,1500,42,1.7,110,,,
506,G-2,,Izmir,Turquía,"Tarcan, 2003",137,10.8,1810,155,90,418,3425,272,655
379,Cen. Miss.16,,Mississippi ,EU,"Fournier y Potter, 1979",137,,58300,2030,3740,55600,,,
602,CM-1,,Seferihisar Izmir,Turquía,"Karul, 1988",137,15.4,6400,650,,,1348,,
369,Krisuvik 7,,,Islandia,"Fournier y Potter, 1979",139,,160,8.2,1.4,15.3,,,
511,BD-1,,Balcova,Turquía,"Serpen, 2004",140,,395,24,2.7,27,176,270,622
464,Citgöl drilled well (sample 7),,"Simav, Anatolia occidental",Turquía,"Gemici & Tarcan, 2002",140,0.0246,288.6,35.5,9,54.8,48,272,558.8
568,4 AH 19 W5,,Yangb,Tibet,"Grimaud, et al., 1985",140,,475913.7,43403.22,72.915,,,,
507,SH-2,,Izmir,Turquía,"Tarcan, 2003",140,,6300,577,190,760,11159,528,256
573,4 AH 25 W1,,Yangb,Tibet,"Grimaud, et al., 1985",140,,478212.8,56697.9,413.185,,,,
408,847,,Rotorua field,Nueva Zelanda,"Giggenbach y Glover, 1992",141,1.5,257,24,0.43,35,282,330,549
376,Cen. Miss.9,,Mississippi ,EU,"Fournier y Potter, 1979",141,,53800,4430,3610,39200,,,
